epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.79945,1.21534,0.09524,1,1.23267,8.574e-05,8.574e-05,8.574e-05
2,15.753,1.12802,0.2381,1,1.12348,0.000182092,0.000182092,0.000182092
3,23.5455,1.00495,0.42857,1,1.0177,0.000274482,0.000274482,0.000274482
4,31.337,0.88384,0.80952,1,0.74329,0.000362912,0.000362912,0.000362912
5,39.0872,0.85823,0.80952,1,0.7653,0.00044738,0.00044738,0.00044738
6,47.006,0.71401,0.95238,1,0.58824,0.000527887,0.000527887,0.000527887
7,54.8494,0.79679,0.90476,1,0.46411,0.000604433,0.000604433,0.000604433
8,62.9389,0.66176,0.90476,1,0.45647,0.000677017,0.000677017,0.000677017
9,70.8222,0.63952,0.95238,1,0.26409,0.000745641,0.000745641,0.000745641
10,78.6722,0.52016,0.95238,1,0.27671,0.000810303,0.000810303,0.000810303
11,86.7458,0.57555,1,1,0.15253,0.000871004,0.000871004,0.000871004
12,95.22,0.65209,1,1,0.14817,0.000927744,0.000927744,0.000927744
13,103.056,0.40805,1,1,0.14044,0.000980523,0.000980523,0.000980523
14,110.877,0.37046,1,1,0.06959,0.00102934,0.00102934,0.00102934
15,118.62,0.6148,1,1,0.0739,0.00103288,0.00103288,0.00103288
16,126.313,0.46364,1,1,0.07182,0.00100459,0.00100459,0.00100459
17,134.261,0.30173,1,1,0.01831,0.000976293,0.000976293,0.000976293
18,142.258,0.59172,1,1,0.01908,0.000947999,0.000947999,0.000947999
19,150.356,0.36266,1,1,0.02191,0.000919704,0.000919704,0.000919704
20,158.706,0.27384,1,1,0.0107,0.00089141,0.00089141,0.00089141
21,166.638,0.25612,1,1,0.01127,0.000863116,0.000863116,0.000863116
22,174.519,0.46548,1,1,0.01216,0.000834822,0.000834822,0.000834822
23,182.481,0.35113,1,1,0.00653,0.000806528,0.000806528,0.000806528
24,191.003,0.33598,1,1,0.00586,0.000778233,0.000778233,0.000778233
25,198.9,0.2662,1,1,0.00685,0.000749939,0.000749939,0.000749939
26,206.779,0.34382,1,1,0.00283,0.000721645,0.000721645,0.000721645
27,218.334,0.12232,1,1,0.00318,0.000693351,0.000693351,0.000693351
28,228.456,0.1366,1,1,0.00315,0.000665057,0.000665057,0.000665057
29,236.891,0.17818,1,1,0.00169,0.000636762,0.000636762,0.000636762
30,244.734,0.09327,1,1,0.00163,0.000608468,0.000608468,0.000608468
31,252.974,0.26366,1,1,0.00154,0.000580174,0.000580174,0.000580174
32,260.875,0.11978,1,1,0.00156,0.00055188,0.00055188,0.00055188
33,268.852,0.07373,1,1,0.00138,0.000523586,0.000523586,0.000523586
34,276.615,0.4245,1,1,0.00141,0.000495291,0.000495291,0.000495291
35,284.648,0.14387,1,1,0.00055,0.000466997,0.000466997,0.000466997
36,292.798,0.1664,1,1,0.00052,0.000438703,0.000438703,0.000438703
37,301.274,0.08743,1,1,0.00048,0.000410409,0.000410409,0.000410409
38,309.795,0.18698,1,1,0.00038,0.000382115,0.000382115,0.000382115
39,318.396,0.0692,1,1,0.00045,0.00035382,0.00035382,0.00035382
40,326.819,0.06012,1,1,0.00039,0.000325526,0.000325526,0.000325526
41,336.269,0.12002,1,1,0.00033,0.000297232,0.000297232,0.000297232
42,345.097,0.21845,1,1,0.00038,0.000268938,0.000268938,0.000268938
43,353.386,0.09175,1,1,0.00038,0.000240644,0.000240644,0.000240644
44,362.009,0.06092,1,1,0.00029,0.000212349,0.000212349,0.000212349
45,370.266,0.34384,1,1,0.00029,0.000184055,0.000184055,0.000184055
46,378.729,0.28288,1,1,0.00028,0.000155761,0.000155761,0.000155761
47,386.767,0.08066,1,1,0.00026,0.000127467,0.000127467,0.000127467
48,394.519,0.13853,1,1,0.00025,9.91726e-05,9.91726e-05,9.91726e-05
49,402.478,0.06292,1,1,0.00029,7.08784e-05,7.08784e-05,7.08784e-05
50,410.437,0.25494,1,1,0.00026,4.25842e-05,4.25842e-05,4.25842e-05
